Compound	C_Label	bat-xz969	bat-xz970	Br-xz969	Br-xz970	dia-xz969	dia-xz970	gas-xz969	gas-xz970	gwat-xz969	gwat-xz970	H-xz969	H-xz970	Kid-xz969	Kid-xz970	Liv-xz969	Liv-xz970	Lu-xz969	Lu-XZ970	Pc-xz969	Pc-xz970	q-xz969	q-xz970	si-xz969	si-xz970	sol2-xz969	sol-xz969	sol-xz970	Sp-xz969	Sp-xz970	BAT-xz979	Br-xz979	Dia-xz979	Gas-xz979	gwat-xz979	H-xz979	Kd-xz979	Liv-xz979	Lu-xz979	Pc-xz979	Q-xz979	SI-xz979	Sol-xz979	Sp-xz979
malate	1	1194.8489906974	705599.930114695	489805.341376175	663841.348803609	3159.65882594016	3667840.56613514	0	1249271.3053882	2537.27845545298	1238.60860010387	2818580.5272825	0	1023.026840694	796776.459973219	368248.885250607	475796.840834426	1285378.94099138	913240.032825733	90963.8790843071	737521.020329562	0	1410054.20786998	0	1570.87794476525	0	2478.53205598176	3617012.73532243	413058.265415425	1263665.72780068	282063.578035627	1150183.36793404	6595217.53758689	1755507.1220668	154613.685278213	5599379.73283079	3958642.05186386	1765644.72325219	686657.190539731	694819.340797435	1097471.7286415	2144285.14661376	3227560.38235795	2156751.82065506
malate	2	0	277101.317337634	74704.1746386839	68017.6950178326	0	1450017.5583849	0	622190.381809207	4786.98342598558	0	1330637.32340402	897.703903651134	0	204840.996171214	70080.6189758152	91993.1999576697	637749.079985552	439718.081302437	47255.6071962029	232641.837577329	0	649821.45407896	0	0	0	0	1711965.76466987	228909.229512128	799088.789089728	53027.091601068	143713.628629675	2712895.25985663	795084.731127758	56479.0282074553	2595288.80699811	1650032.73568761	309739.874423353	428509.712552205	248867.171789258	449827.751915046	1271271.00736211	1399159.81627265	1573801.96658451
malate	3	0	6658.46477947086	0	0	0	43134.95125958	0	0	0	0	45224.6943393895	0	0	26605.3587149851	0	0	18613.7734242231	7663.35298665247	0	5943.68842746326	0	7567.93193684007	0	0	9762.40528651977	0	52407.0893789854	8846.06142006961	11178.2960709743	1366.11658207248	0	50880.03105087	15798.0959829135	3023.85219052297	84180.7075950832	32417.0333671241	122.444233197021	11362.3474111344	3082.57157371282	0	29679.1053456754	41468.5417641607	57135.330664814
malate	4	0	0	0	0	0	6556.66873860323	0	0	0	0	0	0	0	4189.57408820749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	0	16165.4176796788	1578619.53254628	1608191.27970139	2004431.82093157	4019.20649429019	3361128.84853331	2489.43876635979	2436765.31356136	1520.58028909148	4848.17186293378	1816743.08489388	3286.82036006357	7511.52891570596	1642452.92034687	464555.752614959	387474.398181896	4291453.07230033	2382958.97097391	539115.984027692	3994670.57587685	9669.48596952925	2096500.75173438	19695.8300143836	18658.7378770243	124900.742736944	8274.9093589432	2404629.34868238	2925144.9683875	9337291.5481227	108751.497510674	5901457.57179831	3811237.30632157	1720753.37871724	1474884.40763086	3059739.30138301	2519846.79732814	2358212.95081341	1440276.16209856	2902077.65604346	877442.082976663	22762937.6970102	1958491.6390375	10196484.4362104
a-ketoglutarate	1	0	21721.273467031	5875.09159758312	19785.0207956913	0	46184.0019635186	0	15477.5876440147	0	0	35430.9076413251	0	0	0	820.462081747149	2759.06555395355	111954.670873823	41790.2446758359	2169.98763437806	33414.5402428094	0	7242.0447620677	0	0	0	0	65860.7393780564	19676.207155985	281458.688384068	857.908712813373	79011.5295479054	90070.8266808429	9938.26775398405	441.362481242786	128744.552766358	0	4526.8074480288	21842.9056414228	5889.85461326602	2252.50249571236	487689.864687434	36425.8620440274	262930.86748513
a-ketoglutarate	2	0	36083.7368584058	4441.01081442072	8065.67794794717	0	57109.9228780732	1933.48627236246	26816.2611938703	1307.38998217787	0	49688.7868252994	0	0	10420.3734995017	8855.59468329483	1512.8267408983	114639.580099106	61558.3699290453	4762.20973076528	54811.5392771567	0	31505.2810752078	0	0	0	0	46030.2115773561	73826.3315626174	284601.102084832	0	21021.4092339024	77449.4062887875	24533.5719498067	18046.3738297629	102947.333066204	55547.1664387991	31970.3270199527	37415.3949602498	32265.8018194235	11584.7034527702	519873.394062172	36848.7744827239	300080.132083163
a-ketoglutarate	3	0	0	0	0	0	3117.61008816639	0	0	0	0	0	0	0	0	0	0	4873.02858770479	2140.5852239334	0	0	0	108.828352663811	0	0	0	0	984.421104825228	866.852454035288	2932.54961912796	0	0	121.352604924836	1441.8196941271	0	5936.88976061341	0	411.317025051382	1556.99526194543	0	0	8842.42936393431	0	4476.98944191385
a-ketoglutarate	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819.112927799316	0	2412.20681048876	0	0	0	0	0	0	0	0	0	0	0	0	0	1167.89557332461
a-ketoglutarate	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696.190152611598	0	0	0	0	0	0	0	0	0	0	0	1213.93534297172	0	0	0	0	0	0	0	0
